;Current Best;Current Average;Current Worst;Global Best
0;14224;36140,312;63232;50200
1;5234;27035,52;74284;14224
2;4244;20729,406;56258;5234
3;4242;18765,44;50276;4244
4;4236;17885,787;52280;4242
5;4238;17328,893;57264;4236
6;4246;17384,654;54270;4236
7;4244;15429,446;50272;4236
8;4246;16452,094;58270;4236
9;4246;17594,787;47276;4236
10;4244;16504,986;48276;4236
11;4242;17614,613;52262;4236
12;4238;18514,312;62284;4236
13;4238;17035,846;60280;4236
14;4238;17404,113;53276;4236
15;4238;17692,854;54254;4236
16;4238;18045,033;52256;4236
17;4238;18201,58;55258;4236
18;4240;19187,867;58262;4236
19;4240;17278,246;56264;4236
20;4240;17220,674;63262;4236
21;4240;17756,312;57258;4236
22;4240;17300,033;52270;4236
23;4240;18720,066;66266;4236
24;4242;17306,793;49266;4236
25;4240;17883,94;52272;4236
26;4240;18159,727;54268;4236
27;4238;17449,24;63270;4236
28;4238;18319,22;51272;4236
29;4242;17639,486;59274;4236
30;4240;17569,3;50264;4236
31;4242;17459,414;56266;4236
32;4238;18406,434;58264;4236
33;4236;17324,027;57270;4236
34;4242;17512,326;54264;4236
35;4238;17252,34;68274;4236
36;4238;16712,414;49250;4236
37;4238;18157,533;52264;4236
38;4238;18192,594;69266;4236
39;4238;18322,547;53278;4236
40;4238;17374,047;52274;4236
41;4238;17280,166;54272;4236
42;4238;17829,006;54262;4236
43;4238;17728,367;57274;4236
44;4238;16527,486;51264;4236
45;4238;17834,16;52268;4236
46;4238;18140,82;58262;4236
47;4238;18097,994;51258;4236
48;4240;17198,506;50272;4236
49;4238;17425,727;54264;4236
50;4238;16836;64272;4236
51;4240;16954,547;54270;4236
52;4238;16568,84;56270;4236
53;4238;17781,633;45268;4236
54;4238;17925,033;59256;4236
55;4236;19907,613;60258;4236
56;3252;17600,46;48262;4236
57;3252;17178,94;51260;3252
58;3248;16511,78;43272;3252
59;3248;16161,934;56264;3248
60;3246;15810,267;49264;3248
61;3248;16534,867;58272;3246
62;3248;15399,606;55262;3246
63;3248;15103,327;52276;3246
64;3246;14226,1;46272;3246
65;3246;14819,08;41262;3246
66;3246;14946,054;43278;3246
67;3246;15521,08;50274;3246
68;3246;15289,02;49264;3246
69;3246;15629,16;54270;3246
70;3246;16239,446;51264;3246
71;3246;14802,08;45276;3246
72;3248;14997,74;49282;3246
73;3248;14954,38;50250;3246
74;3248;14885,5;46278;3246
75;3248;15159,127;43270;3246
76;3248;16390,72;55276;3246
77;3246;14879,866;49274;3246
78;3248;15363,78;51284;3246
79;3250;14735,54;58278;3246
80;3250;15956,573;62282;3246
81;3248;15270,273;48276;3246
82;3250;15272,693;44268;3246
83;3250;14872,986;55276;3246
84;3250;15987,106;42260;3246
85;3248;15607,087;53274;3246
86;3248;15909,427;56264;3246
87;3248;14815,406;46290;3246
88;3248;14966,86;46276;3246
89;3248;14555,773;44274;3246
90;3248;14542,293;46272;3246
91;3248;15712,627;50272;3246
92;3248;15244,307;48278;3246
93;3248;14949,68;47272;3246
94;3248;15070,394;47266;3246
95;3248;15706,526;43280;3246
96;3248;15869,66;51272;3246
97;3248;14389,573;43272;3246
98;3248;14141,873;41266;3246
99;3248;14904,673;48278;3246
100;3250;14879,073;49274;3246
101;3248;15112,627;47278;3246
102;3248;14197,02;47276;3246
103;3250;15217,453;47276;3246
104;3248;13590,974;51278;3246
105;3248;15196,327;48282;3246
106;3248;14263,387;48264;3246
107;3248;15052,833;51264;3246
108;3250;14946,646;47266;3246
109;3248;13496,44;52272;3246
110;3248;13866,313;46280;3246
111;3248;15919,78;48274;3246
112;3248;15743,387;50268;3246
113;3250;14718,813;49280;3246
114;3250;14846,986;46262;3246
115;3248;14320,18;41280;3246
116;3248;14375,847;51278;3246
117;3248;14573,247;47280;3246
118;3248;14299,627;42276;3246
119;3246;13968,514;49272;3246
120;3246;14584,427;49270;3246
121;3246;14905,967;41254;3246
122;3248;14766,106;50272;3246
123;3248;15262,32;45274;3246
124;3246;14528,267;51272;3246
125;3248;15079,04;50278;3246
126;3248;14977,333;39268;3246
127;3248;15390,453;50266;3246
128;3248;14906,12;47280;3246
129;3248;14685,866;51278;3246
130;3248;14654,946;48272;3246
131;3248;14996,307;49270;3246
132;3248;14498,193;50262;3246
133;3248;14172,24;53278;3246
134;3248;14025,913;40280;3246
135;3248;14963,76;41278;3246
136;3248;14299,153;41258;3246
137;3248;14703,793;49260;3246
138;3248;15184,547;50264;3246
139;3248;15019,08;44280;3246
140;3250;14619,854;49276;3246
141;3250;14843,52;46276;3246
142;3248;13346,906;45260;3246
143;3246;14803,566;47272;3246
144;3248;14969,833;49270;3246
145;3248;14433,227;52296;3246
146;3250;14926,906;52290;3246
147;3248;14502,88;49272;3246
148;3248;13872,78;50262;3246
149;3248;14100,04;39268;3246
150;3248;14169,467;47280;3246
151;3246;14231,873;44272;3246
152;3248;14852,213;46264;3246
153;3248;14056,713;50274;3246
154;3248;14301,033;51280;3246
155;3248;14695,74;39278;3246
156;3248;14176,146;49294;3246
157;3248;13869,36;47270;3246
158;3248;14939,86;47270;3246
159;3248;13987,32;46282;3246
160;3248;14160,84;46284;3246
161;3248;13796,153;41276;3246
162;3248;13685,387;46266;3246
163;3248;13932,354;42272;3246
164;3248;13833,12;43272;3246
165;3248;14172,753;43274;3246
166;3248;14442,1;48262;3246
167;3246;14548,366;58262;3246
168;3246;14354,833;43282;3246
169;3246;14445,773;50272;3246
170;3246;13857,747;46290;3246
171;3246;16254,7;43272;3246
172;3246;14848,387;47266;3246
173;3246;15094,58;51260;3246
174;3246;15196,74;48268;3246
175;3246;14236,7;49262;3246
176;3246;14900,094;50274;3246
177;3246;14883,594;63268;3246
178;3246;15363,486;56274;3246
179;3246;14189,18;43272;3246
180;3246;15643,493;55266;3246
181;3246;14743,327;44270;3246
182;3246;13925,667;47272;3246
183;3248;15426,62;58262;3246
184;3246;15110,64;47276;3246
185;3248;14851,127;49258;3246
186;3248;14205,313;48280;3246
187;3246;15014,54;44268;3246
188;3248;14818,173;47266;3246
189;3248;15141,267;54272;3246
190;3248;14575,413;48274;3246
191;3248;15062,134;40264;3246
192;3246;15592,974;50286;3246
193;3248;15472,76;47272;3246
194;3248;14812,92;48270;3246
195;3248;14702,347;41270;3246
196;3248;14368,394;51278;3246
197;3248;13811,653;48276;3246
198;3248;14802,36;42268;3246
199;3250;15466,967;51272;3246
200;3250;14578,007;46280;3246
201;3250;15692,967;54268;3246
202;3246;14633,24;53274;3246
203;3248;15493,76;54282;3246
204;3246;14693,526;41282;3246
205;3246;15041,02;47280;3246
206;3248;14887,18;47272;3246
207;3248;15166,173;52286;3246
208;3246;14788,68;47276;3246
209;3246;15766,32;52296;3246
210;3246;15825,687;56276;3246
211;3246;14552,193;49260;3246
212;3246;14373,993;44266;3246
213;3246;15590,293;58260;3246
214;3246;15434,113;49272;3246
215;3246;16543,96;49258;3246
216;3246;14533,054;44272;3246
217;3246;14723,833;41268;3246
218;3246;15317,073;51286;3246
219;3246;16077,813;51260;3246
220;3246;15691,06;50282;3246
221;3246;14449,807;44268;3246
222;3246;14743,4;46272;3246
223;3246;14783,413;47266;3246
224;3246;14253,434;46266;3246
225;3246;14719,307;48266;3246
226;3246;15096,54;41266;3246
227;3246;14450,554;50274;3246
228;3246;15067,547;47268;3246
229;3246;15337,847;53268;3246
230;3248;14775,98;41272;3246
231;3246;15048,606;50284;3246
232;3246;14643,98;46284;3246
233;3246;15668,727;46270;3246
234;3248;14191,847;51266;3246
235;3248;13405,46;48272;3246
236;3248;15135,474;50266;3246
237;3246;15611,887;54266;3246
238;3246;14611,827;38276;3246
239;3246;14276,807;52274;3246
240;3246;15877,42;50276;3246
241;3246;14833;52276;3246
242;3246;13566,073;47276;3246
243;3246;15558,507;51272;3246
244;3246;14552,08;42272;3246
245;3246;14946,02;48266;3246
246;3246;14652,267;49268;3246
247;3246;14674,58;45276;3246
248;3248;14657,7;50272;3246
249;3248;14704,84;45256;3246
250;3246;15545,38;51280;3246
251;3248;14263,82;45276;3246
252;3246;15797,594;49262;3246
253;3246;14850,906;48268;3246
254;3246;15486,68;48278;3246
255;3246;14596,554;46268;3246
256;3246;15443,427;49268;3246
257;3246;14121,233;49272;3246
258;3246;15231,44;54294;3246
259;3246;15267,847;47278;3246
260;3246;14136,847;43270;3246
261;3246;13495,86;46266;3246
262;3246;15450,366;48266;3246
263;3246;14342,52;47278;3246
264;3246;15633,627;51260;3246
265;3246;15441,014;48270;3246
266;3246;14793,86;44274;3246
267;3246;14780,96;47268;3246
268;3248;14717,66;47268;3246
269;3246;14217,787;50256;3246
270;3246;14387,547;49260;3246
271;3246;14745,366;48272;3246
272;3246;15004,9;49274;3246
273;3246;15517,693;55274;3246
274;3248;16074,76;51266;3246
275;3246;15432,974;49268;3246
276;3246;15372,347;49264;3246
277;3246;15835,667;49280;3246
278;3246;14665,606;44278;3246
279;3248;15005,153;43266;3246
280;3248;15545,873;44264;3246
281;3248;15029,014;45276;3246
282;3248;14458,24;47272;3246
283;3248;14448,52;45270;3246
284;3248;16002,807;51274;3246
285;3248;14835,88;47262;3246
286;3248;15283,113;47276;3246
287;3248;15546,293;52288;3246
288;3248;15578,906;45282;3246
289;3246;14411,48;51278;3246
290;3246;14334,92;52276;3246
291;3246;14731,014;47276;3246
292;3248;15544,873;49270;3246
293;3250;15093,38;52278;3246
294;3248;15390,84;54282;3246
295;3248;13994,453;51266;3246
296;3246;14085,98;45284;3246
297;3246;14295,7;46278;3246
298;3246;14718,087;45272;3246
299;3246;15374,307;46272;3246
300;3246;14553,98;41270;3246
301;3246;15154,807;47280;3246
302;3246;14570,713;56274;3246
303;3248;14533,44;47276;3246
304;3246;15240,673;47286;3246
305;3246;14943,48;45280;3246
306;3246;15583,634;48278;3246
307;3246;14445,967;47270;3246
308;3246;15009,84;48274;3246
309;3246;15046,813;47276;3246
310;3246;14863,12;41268;3246
311;3246;13876,54;50270;3246
312;3246;15463,76;49270;3246
313;3246;14917,066;49266;3246
314;3246;15427,24;57276;3246
315;3246;15017,46;42280;3246
316;3246;15200,753;51274;3246
317;3246;14578,474;49280;3246
318;3246;14778,4;61264;3246
319;3246;14023,173;47270;3246
320;3246;15109,993;43278;3246
321;3246;14790,48;45264;3246
322;3246;14211,394;47266;3246
323;3246;15320,653;49266;3246
324;3246;14717,387;42268;3246
325;3246;15216,594;48272;3246
326;3246;15762,894;42286;3246
327;3246;14970,187;48264;3246
328;3246;15719,16;44270;3246
329;3246;14172,467;47266;3246
330;3246;14853,427;40282;3246
331;3246;15897,22;49270;3246
332;3246;14646,394;52268;3246
333;3246;14616,36;44286;3246
334;3246;14560,36;45268;3246
335;3246;15620,627;54288;3246
336;3246;15880,16;47266;3246
337;3246;15861,22;47268;3246
338;3246;14296,94;47268;3246
339;3246;14877,207;47276;3246
340;3246;15464,566;61266;3246
341;3246;16208,587;48272;3246
342;3246;14848,946;47266;3246
343;3246;14286,773;41280;3246
344;3246;15662,04;49260;3246
345;3246;15563,967;51272;3246
346;3246;15788,873;50276;3246
347;3246;15471,42;46258;3246
348;3246;14971,773;54272;3246
349;3246;15461,667;44276;3246
350;3246;14870,26;45276;3246
351;3246;14586,807;42270;3246
352;3246;14937,106;52280;3246
353;3246;14310,394;52284;3246
354;3246;14763,92;52272;3246
355;3246;15044,486;40278;3246
356;3246;14241,066;37286;3246
357;3246;14408,22;50288;3246
358;3246;14795,507;56272;3246
359;3246;14744,847;50268;3246
360;3246;15391,287;52278;3246
361;3246;14407,267;42276;3246
362;3246;13663,707;42268;3246
363;3246;14412,807;54278;3246
364;3246;15882,673;48286;3246
365;3246;14910,587;50266;3246
366;3246;14860,32;53272;3246
367;3246;14547,014;49274;3246
368;3246;15229,373;45274;3246
369;3246;15063,84;50276;3246
370;3246;14746,606;49260;3246
371;3246;14360,287;49268;3246
372;3246;13838,94;49252;3246
373;3246;14888,913;56284;3246
374;3246;14856,913;49276;3246
375;3248;14314,46;50276;3246
376;3248;14941,753;46264;3246
377;3248;15158,554;49264;3246
378;3246;14036,613;49280;3246
379;3246;14584,047;48262;3246
380;3246;14693,866;47298;3246
381;3246;14046,2;49262;3246
382;3246;14689,8;48270;3246
383;3246;15270,673;42272;3246
384;3246;14783,807;48266;3246
385;3246;12888,92;40270;3246
386;3246;15159,547;48264;3246
387;3246;15880,72;52264;3246
388;3246;13757,207;44274;3246
389;3246;14464,28;48280;3246
390;3246;14594,16;41272;3246
391;3246;14243,014;55280;3246
392;3246;15157,253;47272;3246
393;3246;14600,387;46262;3246
394;3246;15104,387;46270;3246
395;3246;14523,227;46268;3246
396;3246;14640,673;46260;3246
397;3246;15326,88;44272;3246
398;3246;15259,773;52272;3246
399;3246;14967,253;48270;3246
