;Current Best;Current Average;Current Worst;Global Best
0;14234;36357,926;55230;50200
1;5238;27682,893;60248;14234
2;5244;21393,58;47280;5238
3;4250;18458,027;49286;5238
4;4250;17134,76;48270;4250
5;4250;17093,506;59264;4250
6;4246;15608,64;51272;4250
7;4242;17002,36;58278;4246
8;4240;15935,52;50256;4242
9;4242;17253,926;51286;4240
10;4242;17771,086;46272;4240
11;4242;17762,674;52274;4240
12;4242;15215,193;43270;4240
13;4242;16271,207;51272;4240
14;4240;17927,24;50270;4240
15;4238;17443,674;52270;4240
16;4242;18950,86;59278;4238
17;4242;17625,5;55272;4238
18;4242;16051,747;44278;4238
19;4242;17225,246;60258;4238
20;4242;16425,8;49278;4238
21;4238;17653,793;54264;4238
22;4238;17769,88;57274;4238
23;4238;18059,26;56266;4238
24;4238;17528,08;62262;4238
25;4238;18561,18;56262;4238
26;4238;17684,32;55274;4238
27;4238;17310,633;52256;4238
28;4238;17161,047;55262;4238
29;4238;18611,953;52270;4238
30;4238;17679,787;50258;4238
31;4236;18396,22;51266;4238
32;4236;18169,926;50262;4236
33;4238;18135,387;59260;4236
34;4238;17263,287;47258;4236
35;4238;17417,02;46264;4236
36;4238;17686,44;52268;4236
37;4238;17431,654;50272;4236
38;4238;17525,48;50270;4236
39;4238;17628,426;50262;4236
40;4240;17342,193;52274;4236
41;4240;18387,713;49270;4236
42;4238;16599,1;58274;4236
43;4236;17907,654;52260;4236
44;4236;18217,88;47268;4236
45;4236;17317,006;57252;4236
46;4236;17110,033;49258;4236
47;4236;18410,553;50264;4236
48;4236;18873,566;53266;4236
49;4238;17526,58;58268;4236
50;4238;17290,04;49266;4236
51;4240;17307,066;57278;4236
52;4238;17371,367;57266;4236
53;4238;16870,947;57266;4236
54;4238;16413,133;55254;4236
55;4238;17193,514;56264;4236
56;4238;16689,846;54262;4236
57;4238;17316,533;50264;4236
58;4238;17320,506;55264;4236
59;4238;17883,62;46260;4236
60;4238;17735,527;56272;4236
61;4240;17881,754;54266;4236
62;4240;17311,053;54254;4236
63;4238;17905,28;54260;4236
64;4238;17695,467;55280;4236
65;4238;17407,76;52266;4236
66;4240;18278,867;52266;4236
67;4238;18039,68;54278;4236
68;4238;16834,426;49260;4236
69;4238;17611,28;48262;4236
70;4238;16730,373;54262;4236
71;4238;17525,066;56266;4236
72;4240;17043,566;48266;4236
73;4240;17417,86;50260;4236
74;4240;19098,78;57268;4236
75;4238;18022,807;65262;4236
76;4240;17545,406;48264;4236
77;4240;18496,047;58266;4236
78;4238;16860,28;67278;4236
79;4238;16799,8;46268;4236
80;4238;18203,627;65268;4236
81;4238;17594,773;56266;4236
82;4238;17294,834;48278;4236
83;4240;17267,246;58262;4236
84;4240;17735,64;58276;4236
85;4238;17348,84;57258;4236
86;4238;18256,293;62266;4236
87;4238;17951,893;55262;4236
88;4236;17347,893;49264;4236
89;4238;18511,166;50276;4236
90;4238;17368,006;52260;4236
91;4238;17361,553;58270;4236
92;4238;16025,366;50272;4236
93;4238;16677,254;61274;4236
94;4236;16433,58;51256;4236
95;3250;18059,46;58256;4236
96;3248;16640,94;57256;3250
97;3248;16139,866;58272;3248
98;3248;15692,366;46272;3248
99;3248;15562,76;43264;3248
100;3248;15143,913;51264;3248
101;3248;14793,94;47268;3248
102;3246;14661,2;46276;3248
103;3248;13699,474;42270;3246
104;3248;14805,866;52272;3246
105;3246;14930,727;58274;3246
106;3248;15436,827;59276;3246
107;3246;15469,34;55270;3246
108;3246;14337,554;48282;3246
109;3248;15204,434;55272;3246
110;3248;14977,547;48262;3246
111;3248;14404,007;50270;3246
112;3246;14834,267;56270;3246
113;3246;14770,146;48270;3246
114;3246;15041,373;46264;3246
115;3246;15300,753;47270;3246
116;3246;15387,986;44278;3246
117;3246;13844,4;48254;3246
118;3246;14387,514;47266;3246
119;3246;15163,526;45272;3246
120;3246;14514,213;57264;3246
121;3246;14781,22;48270;3246
122;3246;15001,913;47274;3246
123;3246;14334,953;40270;3246
124;3246;15152,18;54280;3246
125;3246;14918,167;54276;3246
126;3248;15161,187;56270;3246
127;3246;15028,32;48278;3246
128;3246;15865;53276;3246
129;3246;15184,707;46278;3246
130;3246;15766,927;56278;3246
131;3246;14601,28;47266;3246
132;3246;13884,66;46272;3246
133;3246;15467,474;49260;3246
134;3246;15011,26;41276;3246
135;3246;13607,207;48272;3246
136;3246;15150,587;49260;3246
137;3246;15444,106;53278;3246
138;3246;14781,094;46280;3246
139;3246;15334,98;44282;3246
140;3246;15462,5;48268;3246
141;3248;14002,373;49280;3246
142;3248;15005,486;51274;3246
143;3248;15105,233;53266;3246
144;3248;14572,187;50272;3246
145;3250;15496,134;42268;3246
146;3250;15260,434;56268;3246
147;3250;13786,986;42276;3246
148;3246;15216,227;48270;3246
149;3248;14421,894;47272;3246
150;3248;14604,66;44280;3246
151;3248;15264,46;51276;3246
152;3248;14978,42;47288;3246
153;3248;14690,906;42280;3246
154;3248;14901,833;43264;3246
155;3248;14661,573;50274;3246
156;3248;14412,173;44280;3246
157;3248;15683,58;53264;3246
158;3246;14441,486;43274;3246
159;3246;14653,76;48272;3246
160;3248;14837,847;49272;3246
161;3248;14665,827;45274;3246
162;3248;14976,173;45280;3246
163;3250;14537,46;45270;3246
164;3248;14771,087;48268;3246
165;3248;15130,833;49272;3246
166;3248;15530,46;48266;3246
167;3248;15069,526;46274;3246
168;3248;15183,033;47272;3246
