;Current Best;Current Average;Current Worst;Global Best
0;14224;36323,832;57222;50200
1;5240;24026,467;52256;14224
2;4244;18157,027;50256;5240
3;4244;16303,833;52274;4244
4;4242;15670,713;48264;4244
5;4238;16264,453;54272;4242
6;4238;18258,547;54270;4238
7;4238;17441,006;49258;4238
8;4238;17264,674;53262;4238
9;4238;16960,887;53264;4238
10;4238;18004,6;52260;4238
11;4238;17217,973;54248;4238
12;4238;16964,727;45258;4238
13;4238;17421,246;54268;4238
14;4238;17635,254;48272;4238
15;4238;18358,268;59266;4238
16;4238;17935,246;52262;4238
17;4238;17454,82;56264;4238
18;4238;17687,98;61270;4238
19;4238;18224,3;59270;4238
20;4238;17227,826;50256;4238
21;4238;17657,96;54264;4238
22;4238;17514,66;53270;4238
23;4238;17492,047;49266;4238
24;4238;17547,973;50252;4238
25;4238;16687,514;54268;4238
26;4238;17134,486;57274;4238
27;4238;17031,88;50254;4238
28;4238;16794,54;51268;4238
29;4238;17361,566;46268;4238
30;4238;17474,453;57256;4238
31;4238;17648,594;48266;4238
32;4238;18174,6;49258;4238
33;4238;17028,066;47262;4238
34;4238;17364,666;53268;4238
35;4238;16667,4;48260;4238
36;4238;17111,014;50260;4238
37;4238;17604,867;51266;4238
38;4238;16120,827;56264;4238
39;4238;16410,693;68260;4238
40;4238;17391,066;50268;4238
41;4238;17414,467;46250;4238
42;4238;17761,967;52252;4238
43;4238;17278,086;50260;4238
44;4238;18051,42;52256;4238
45;4238;17499,074;52268;4238
46;4238;17494,953;52260;4238
47;4238;16614,533;56264;4238
48;4238;17771,807;52268;4238
49;4238;17558,84;62266;4238
50;4238;18205,127;68274;4238
51;4238;17798,273;52264;4238
52;4238;17201,367;50260;4238
53;4238;18177,953;51266;4238
54;4238;17427,926;48266;4238
55;4238;18155,213;54258;4238
56;4238;17401,38;48258;4238
57;4238;17874,373;51264;4238
58;4238;17967,82;61264;4238
59;4238;17087,732;63258;4238
60;4238;16941,48;50258;4238
61;4238;16121,46;50268;4238
62;4238;16914,42;46258;4238
63;4238;17911,72;50262;4238
64;4238;17161,14;50258;4238
65;4238;17934,86;50256;4238
66;4238;17368,04;51248;4238
67;4238;16531,207;50268;4238
68;4238;17288,293;51248;4238
69;4238;17178,367;43274;4238
70;4238;17168,047;45264;4238
71;4238;17287,693;53250;4238
72;4238;17685,346;49260;4238
73;4238;16854,12;58264;4238
74;4238;16757,213;58264;4238
75;4238;17161,12;50260;4238
76;4238;17541,807;44258;4238
77;4238;18008,014;56266;4238
78;4238;17291,354;49262;4238
79;4238;17491,166;58264;4238
80;4238;17354,92;56270;4238
81;4238;17238,2;53260;4238
82;4238;17928,707;52268;4238
83;4238;17357,674;51256;4238
84;4238;16968,953;41272;4238
85;4238;16578,16;51272;4238
86;4238;17597,74;50256;4238
87;4238;17429,02;50264;4238
88;4238;16657,754;58264;4238
89;4238;17528,674;50270;4238
90;4238;16843,527;56268;4238
91;4238;16957,273;57264;4238
92;4238;17768,627;62266;4238
93;4238;17334,453;49272;4238
94;4238;17657,826;52262;4238
95;4238;16867,906;59262;4238
96;4238;17594,887;53268;4238
97;4238;17034,48;48274;4238
98;4238;17184,967;51258;4238
99;4238;17775,113;54262;4238
100;4238;17488,227;53272;4238
101;4238;18595,287;51272;4238
102;4238;17991,613;52266;4238
103;4238;17741,74;53272;4238
104;4238;17114,58;51264;4238
105;4238;16871,473;51270;4238
106;4238;17388,014;54278;4238
107;4238;18144,627;51268;4238
108;4238;17798,06;68268;4238
109;4238;16684,387;70262;4238
110;4238;18575,146;50266;4238
111;4238;17748,447;52272;4238
112;4238;17581,133;58260;4238
113;4238;16727,867;50256;4238
114;4238;18644,994;50258;4238
115;4238;18274,727;58276;4238
116;4238;16841,64;50258;4238
117;4238;16794,807;49270;4238
118;4238;16580,934;57266;4238
119;4238;17265,26;48264;4238
120;4238;17188,613;61262;4238
121;4238;17478,053;52264;4238
122;4238;15601,106;49258;4238
123;4238;17415,154;48262;4238
124;4238;17979,033;50254;4238
125;4238;16431,074;49258;4238
126;4238;17538,227;58274;4238
127;4238;18502,027;48268;4238
128;4238;16240,026;51256;4238
129;4238;15924,627;53264;4238
130;4238;17044,693;61282;4238
131;4238;17838,273;49272;4238
132;4238;16901,154;50256;4238
133;4238;15857,727;52252;4238
134;4238;16708,22;52266;4238
135;4238;17955,04;48264;4238
136;4238;18039,24;53264;4238
137;4238;17998,113;50256;4238
138;4238;18432,146;53270;4238
139;4238;17671,773;52272;4238
140;4238;17211,24;50278;4238
141;4238;17277,367;50258;4238
142;4238;17207,947;47248;4238
143;4238;16951,227;51268;4238
144;4238;16737,373;60276;4238
145;4238;17918,254;47272;4238
146;4238;18275,926;52264;4238
147;4238;17131,367;60274;4238
148;4238;16678,154;53248;4238
149;4238;16177,533;49266;4238
150;4238;17685,5;68266;4238
151;4238;16974,174;55264;4238
152;4238;17724,406;52256;4238
153;4238;18048,787;52258;4238
154;4238;16744,453;42250;4238
155;4238;16827,98;49266;4238
156;4238;17608,107;46268;4238
157;4238;17998,72;57266;4238
158;4238;17168,107;45258;4238
159;4238;17691,867;58268;4238
160;4238;18378,473;52280;4238
161;4238;16321,427;51256;4238
162;4238;16988,32;52262;4238
163;4238;16144,146;50260;4238
164;4238;17721,84;52270;4238
165;4238;17491,32;53258;4238
166;4238;17404,42;49260;4238
167;4238;18524,54;51252;4238
168;4238;17747,76;51270;4238
169;4238;17472,254;50258;4238
170;4238;17218,38;51268;4238
171;4238;17644,812;59266;4238
172;4238;16927,92;48258;4238
173;4238;17221,44;60262;4238
174;4238;17404,732;53270;4238
175;4238;18041,074;49266;4238
176;4238;17224,88;46258;4238
177;4238;17694,953;50258;4238
178;4238;17377,32;50262;4238
179;4238;16881,36;61268;4238
180;4238;16581,28;57266;4238
181;4238;17898,613;52270;4238
182;4238;17028,232;55254;4238
183;4238;17347,834;50268;4238
184;4238;18205,2;57272;4238
185;4238;17201,42;49256;4238
186;4238;17408,494;52278;4238
187;4238;17298,027;56272;4238
188;4238;18434,56;50260;4238
189;4238;16837,688;55268;4238
190;4238;18638,854;59270;4238
191;4238;17221,354;51258;4238
192;4238;17364,732;50266;4238
193;4238;17070,8;48264;4238
194;4238;18085,113;48264;4238
195;4238;17537,64;63272;4238
196;4238;16977,566;47268;4238
197;4238;17184,646;50258;4238
198;4238;17337,688;53262;4238
199;4238;17387,594;69258;4238
200;4238;16811,633;53264;4238
201;4238;17260,787;49256;4238
202;4238;17518,406;53264;4238
203;4238;17478,027;50268;4238
204;4238;17788,48;59264;4238
205;4238;17411,22;49266;4238
